positive,negative,rating
Lokacija i skladne sobe,,10
"kako lokacija samog hotela,tako i dorucak je bio perfektan",sve je bilo extra,10
"Lokacija perfektna, krevet preudoban..",Cistoca na jako losem nivou!,1
"Odlicna lokacija, cisto, ljubazno osoblje, preobilan dorucak. WI-FI isto odlican, sobe ciste i ukusno uredjene. Uvece mogucnost za veceru u lepom restoranu, hrana preukusna, usluga odlicna, muzika prelepa.",,10
"Jako Lijep hotel .
Parking 
Sobe prostrane i lijepo sređene.",,10
"Dopala mi se ljubaznost zaposlenih ,kako na recepciji tako i u restoranu.",,10
"Izuzetno ljubazno i predusretljivo osoblje. Na recepciji, a i u restoranu.
Odličan doručak.
Soba čista i uredna.","Prilikom ulaska u sobu, a usli smo oko 19h  osetio se miris spremanja hrane. 

Kako se ispod soba nalazi restoran  koji radi inače nevezano za goste hotela znao sam da je zbog toga.

Počelo da miriše kada je uključeno grejanje.

Trebalo bi da se pozabave time. Nama nije zasmetalo, ali će biti onih kojima će smetati.

Naravno kasnije se taj miris nije osetio.",10
Ljubazno osoblje.Vrhunski restoran u sklopu hotela.,,10
Sve,,10
"Odlična lokacija, prelijep enterijer, higijena na vrhunskom nivou, osoblje ljubazno, recepcionerka maskimalno ljubazna, hrana preukusna, parking odličan. Cijena savršeno odgovara kvalitetu i sigurno ćemo opet biti gosti. Topla preporuka.",,10
"Super hotel,restoran,lokacija,parking...osoblje...sve super",,10
"Udobno, čisto, prijatan ambijent. Ljubazno osoblje. Sve preporuke.",,10
"10/10
Veoma ljubazno osoblje!",,10
"Fantastičan doručak. 
Vrlo ljubazno osoblje. 
Higijena vrhunska! 
Obezbeđen parking.",,10
"Hotel je na super lokaciji, sobe su jako lepe, moderno opremljene.
Kreveti udobni, mirno je i tiho, raj za odmor. U sobi je zaista sve što Vam je potrebno, domaćini su mislili na svaki detalj. Osoblje je preljubazno. Restoran je fenomenalan.","Voda za tuširanje je bila mlaka, oba dana, nadam se da inače nije tako. Nameštaj i tepih u dnevnoj sobi zahtevaju dubinsko čišćenje.",9
"Sve je savršeno, čisto, udobno, urrđeno sa ukusom, odlično. Osoblje je za čistu 10-ku, ljubazni, nasmijani, duhoviti.",,10
"Ljubazno osoblje, odlican dorucak, cisto i uredno.
Hotel za svaku preporuku.
Doci cemo ponovo.",,10
"Odlično i bez ikakve mane: smeštaj, doručak, osoblje...sve pohvale!",,10
Sobe su prostrane i čiste. Parking je bio obezbeđen.Preporuka,,10
"Odlicna lokacija, ugodan ambijent,  restoran odličan uz ugodno osoblje!",organizacija na parkingu je kaoticna,9
"sve ok, kao i uvek.",,10
"Sve je super,cisto i osoblje na zavidnom nivou....",Fali cebe ili step deka za pokrivanje...,10
"Apsolutno fantastican hotel i restoran. Lokacija odlicna, veliki parking,perfektno cisto svuda! Nije imalo sobe pa mi je gospoda za istu cenu dala apartman! Svaka cast! Dorucak fenomenalan! Toplo, cisto, mirise.
Uvek cu odsedati u ovom hotelu!",Jedan od retkih hotela gde nemam ni jednu zamerku,10
"Izuzetno lepo, udobno i čisto. Hrana odlična i osoblje veoma ljubazno. Sve pohvale",,10
Odličan odnos cene i kvaliteta. Sve je bilo i bolje nego očekivano,,10
"Odlicna lokacija, obezbedjen besplatni parking u delu grada gde ga je nemoguce naci. Soba prostrana. Hotel jako lep, restoran i dorucak odlicni! Preporuka!",,10
"Sve je na vrhunskom nivou. Objekat, osoblje,SVE!  Svima bih preporucila ovaj hotel, i od sada, i ja cu  se uvek vracati.",,10
Objekat,Muzika iz restorana,9
"Čistoća, ljubazna usluga, doručak i jela sa jelovnika.",,10
"Lokacije je odlicna, osoblje preljubazno, sobe komforne",Sve je odlicno,10
"Hotel je prelep, lepši je nego na slikama, parking free, osoblje u kompletu preljubazno ali moram posebno da pohvalim ženu koja je zadužena za čistoću hotela, sa kratkom plavom kosom kao i cure na recepciji. Svaka čast! Vidimo se uskoro..",Sve je bilo u najboljem redu.,10
Sve je odlično u ovom hotelu.,,8
"Velicina sobe, cisto kupatilo, rad recepcije 0-24h",A la carte dorucak,9
"Restran, soba, čistoća. Usluga perfektna.",Kartica za sobu nije radila. I isključena je u 10:45 što nije ok.,8
"Sve je bilo izuzetno,od ljubaznoscu radnica na recepciji,restoranu,cistoce hotela i ukusne hrane",,10
"Hotel je lep, cist osoblje ljubazno",Nema papuca u sobi,8
"Parking,odlican restoran,cisto i udobno...",Sve je bilo super,10
Sve je super.,-----------,10
"Sobe, restoran,cistoca,osoblje,konobari",,10
"To što restoran ima i vrlo lijep vanjski dio, gdje smo mogli i doručkovati.",Nemam posebnih zamjerki za smještaj.,10
"Restoran i osoblje restorana, hrana, sve je na zavidnom nivou. Svaka preporuka.
Sobe su nove i komforne. Sve je čisto.",Osoblje na recepciji treba bude profesionalnije i uslužnije.,8
Soba je čista i kreveti su udobni.,Velika gužva na parkingu u popodnevnim satima zbog restorana hotela.,9
"Dorucek, odlicen i obilen
Lokacija, odlicna
Personal, gostoprimliv,ljubezen,perfektno usluzliv!!!","Po zavrsetok na proslavi ( svadbi ) so sreduvanjeto vo restoranot , se pravi bucava so vlecenje na masite po podot i ne moze da se zaspie,bi trebalo da ne gi vlecat nego da gi digaat.",9
"Prijatane sobe,ambijent dobar.","Parking za vikend je nocna mora.
Gosti restorana zauzmu parking i sile nema da se negde parkiras.
Ako budemo prestali da dolazimo bice samo zbog toga.",8
"Ljubazno osoblje, komforna čista soba, odličan doručak u prijatnom ambijentu, besplatan parking, sve pohvale",,10
"Konobar Gliša, čista 10ka i više od toga",Recepcionerka,8
"Osličan smeštaj, i jako prijatno i uslužno osoblje. Moje preporuke....",,10
,"Nije bilo tople vode ni uveče a ni ujutru. Rekao bih i da su smanjeni normativi kada je doručak u pitanju.
Sve to se naravno nije odrazilo na cenu u znak razumevanja.",4
Uredno,"U prizemlju je sala za proslave.Nenormalna buka ,za odmoriti se i naspavati vikendom tesko.",3
Higijena i dorucak su dobri.,"Ispod sobe u kojoj sam boravila nalazi se uredjaj od ventilacije kuhinje koji je neprestano brujao i po danu i po noci. Obavjestila sam recepciju i rekli su da ce noću da ugase ali nisu ni jednu od 3 noći koje sam provela. Uglavnom cu pamtiti boravak po neprospavanim noćima.
Hotel ima dosta prednosti ali ovakvi propusti nisu korektni za novac koji sam platila.",5
"Lokacija hotela je odlicna.
Restoran u sklopu hotela je dobar.","U ovom hotelu odsedamo vec 3 god.
Kad god smo u Bg-u,odsedamo tamo.
Prvo smo preko booking-a dobili upgrade za apartman po ceni sobe.Samo sat vremena kasnije stize poruka da cemo ipak biti u sobi iz tehnickih razloga🤨.
Soba u kojoj smo bili smesteni je kao i sve ostale sobe u hotelu,ali kupatilo je katastrofalno.
Budj u tus kabini,na plocicama…bas,bas grozno.Lampa ne radi jer nema sijalicu,daljinski sam nosila na recepciju da mi zamene baterije.
Da ne komentarisem proslave koje se organizuju svakog vikenda pa nemas mesta za parkiranje,a muzika ispod tebe bije do ponoci,tako da ako ste za vikend krenuli da slucajno odmorite,preskocite ovaj hotel.",6
"Lokacija . Ambijent, parking.",Dorucak je siromasan . Oskudan,7
osoblje ljubazno,"cela soba oseća na farbu, smrdi wc, jedan peškir je prljav čak još mokar. hteli smo da promenimo sobu ali nažalost je hotel pun, odjavili smo se u 1 ujutro jer ne mogu zaspati zbog neprijatnog mirisa farbe.",2
"Restoran prelep,parking.Putujem dosta al takve konobare ljubazne,profesionalne nisam srela Sve pohvake",,10
Osoblje koje je ljubazno i trudi se da popravi situaciju.,Nije bilo tople vode za kupanje,8
"Hotel je u samom centru. Osoblje ljubazno i profesionalno. Parking je u blizini hotela (ovaj put nisam koristio, ali sada znam za ubuduće).",,10
Zaposlenici,,8
"Predivan hotel u samom centru Beograda, predivna zgrada. Izuzetno ljubazno osoblje, pohvala za celu recepciju noc 31.2023/01.2024. Sobe konforne, ciste, sa prwdivn8m pogledom na trg. Udobnost, mogucnost regulacije temperature, podno krejanje u predivnom, prostranom kupatilu...sve pohvale...rado cu preporuciti👌😍",,10
Lokacija je najbolja u Beogradu definitivno,,10
"Dorucak odlican,posebno bih naglasio da je objekat izuzetno cist i uredan.",Blizina parkinga.,8
Sve mi se dopalo.,-,10
"Uredno, tiho, cisto. Lokacija fantasticna.",,9
Lokacija sami centar,,10
"Veoma ljubazno osoblje, sve je veoma cisto i uredno, soba prostrana, izuzetan pogled na trg, a u sobi se ne cuje buka i guzva koja je napolju.","Veoma je bitno da hotel na takvom mestu i sa takvom uslugom nema parking za goste hotela, nego su primorani da se sami snalaze, sto je posebno tesko 31.12.",10
Sve je bilo savršeno.Usluga odlična sobe uredne.Sve pohvale!!,,10
jako dobar miran polozaj hotela. veoma ljubazan personal koji se trudi da vam ispuni svaku želju. U restoranu prave fantastične Pize,"Hotel je došao u godine i bila bi mu potrebna renovacija. Bazen je pogotovo vikendom prebukiran zbog gostiju koji dolaze sa strane. 
Doručak je malo monoton, fali varijacija. Šteta sto je doručak samo do 9 sati i sto bar i restoran rade samo do 18 sati.",9
Terasa i prelep pogled sa terase. Osoblje preljubazno😊,,9
"Pogled iz sobe na Niš oduševljava, sobe su prostrane. Kreveti su udobni, osoblje prijatno. Doručak standardan, sasvim dovoljan da se osoba najede.",Brave u apartmanu ( na vratima od kupatila i spavaće sobe) su pokvarene i vrata ne mogu da se zatvore.,9
"Sobe ciste. Voda u bazenu cista, dorucak fenomenalan, raznovrsan, lokacija super, pogled fantastican. Pice u restoranu bas ukusne, osoblje i vlasnici ljubazni i druzeljubivi","Samo sto je bila privatna zurka dok smo boravili u hotelu, pa je bilo malo glasnije.",8
"мир, тишина, особље",узбрдица🤣,8
Lokacija,Zajednička rerasa i loš tuš,8
Komfor,Kupatilo,7
"Локација коректна, љубазно особље, смештај, доручак, базен - све је одлично. Препорука!",Пут до хотела.,9
Sve je ok bilo,,10
Predusretljivo osoblje,,10
"Doručak je odličan, bilo je svega za svačiji ukus. Osoblje jako ljubazno. Fenomenalna pizza u baru pored bazena. Bazen osoblje čisti svakodnevno, besprekorno je sve.",,10
Osoblje na visimi 👏👏👏,,10
Dorucak je odlican i zadovoljava sarenolike ukuse.,,10
Svee,Nista,10
"Usluga je odlična i domaćini su izuzetno prijatni. Hotel je na odličnoj lokaciji, bazen je super.",,9
Odlična lokacija; veoma uredno!,,10
Odličan doručak i odlična lokacija!,Sve je bilo dobro,10
"Drugi put smo u ovom objektu i izuzetno smo zadovoljni boravkom. Hotel se nalazi na mirnoj lokaciji koja je istovremeno blizu centra grada. Javna garaža je udaljena svega nekoliko minuta hoda od hotela . Osoblje je izuzetno gostoljubivo i ljubazno, što dodatno doprinosi ugođaju. Krevet u sobi je prostran i izuzetno udoban, a soba i kupatilo su besprekorno čisti, što nam je posebno važno.

Doručak uz kafu je bio izvanredan, raznolik i obilan, pružajući nam savršen početak dana. S obzirom na iskustvo koje smo imali, definitivno planiramo ponovno posetiti ovaj objekat u budućnosti! Sve pohvale!",,10
Posebno želim da pohvalim izuzetno ljubazno osoblje i čistoću u hotelu.,,10
"Najjači utisak ostavila je čistoća, posteljina prelepo miriše a jastuci su preudobni, što je retkost",Jedino što mi se nije dopalo su papuče koje nisu za jednokratnu upotrebu,10
"Sve ja jako dobro, osoblje vrlo prijatno.",,10
"Lepo organizovan hotel, domaćin se zaista potrudio da mi bude ugodno i udobno do najsitnijih detalja. Velika preporuka!",Sve je bilo u najboljem redu!,10
Svi su fini,0,10
"Veoma sam zadovoljan hotelom.Na tihoj lokaciji u blizini centra.Krevet je bio bas udoban.Najveći utisak je ostavila osoba sa recepcije,izuzetno gostoljubiva.",Koristio sam jednokrevetnu sobu i kupatilo je baš malo.,10
"Uredno i čisto, osoblje izuzetno ljubazno, sjajna lokacija :) za preporuku.",,10
"Ljubazno osoblje, čist hotel sa odličnim doručkom.",,9
"Osoblje, ambijent, lokacija, dorucak, higijena.. SVE",,10
"Sve je bilo savršeno: ljubazno osoblje da se osećate kao da niste u gostima 🙂, čistoća na zavidnom nivou, doručak odličan. Definitivno ćemo se vratiti ❤",,10
"Hotel se nalazi na mirnom mjestu par minuta  od Skandalija  sa veoma  ljubaznom uslugom koja je veoma agazovana za  bilo koje situacije .Odsevljena sam njihovom ukusnom kafom i raznim specijalitetima. 
Za  veliku preporuku je i necete pogrijesit  .",,10
"Hotel je pre svega na odlcnoj lokaciji, u blizini ima frizerski salon, apoteka jednostavno vam je sve u blizini.
Osoblje je predivno, veoma  ljubazno i od velike pomoci sto se svega tice.
Soba je prostrana i sve je cisto sto je najbitnije.
Dorucak je preukusan i raznovrsan, ima bastca ispred u kojoj smo uzivali u jutarnjoj kafici. :)
Sve pohvale, vidimo se opet!",Sve mi se dopalo!,10
"Me gustó la ubicación céntrica del hotel y el desayuno adecuado que ofrecían. Las habitaciones y el baño estaban también en línea con lo que esperaba para su categoría.

I liked the hotel’s central location and the decent breakfast they provided. The rooms and bathroom were also in line with what I expected for their category.

Допадла ми се централна локација хотела и прихватљив доручак који су нудили. Собе и купатило такође одговарају категорији.","Sin embargo, tuvimos un problema significativo en el segundo día de nuestra estancia. La temperatura de la habitación era incómoda, llegando a los 27 grados Celsius. La calefacción del hotel es central y cuando la encendieron, nuestro aparato de aire acondicionado producía un ruido fuerte y molesto que nos impidió dormir durante toda la noche. Dado que este problema no fue solucionado, nuestra evaluación general de la estancia es negativa.

However, we encountered a significant issue on the second day of our stay. The room temperature was uncomfortable, reaching 27 degrees Celsius. The hotel’s heating is centrally controlled, and when they activated it, our air conditioning unit produced a loud, disruptive noise that prevented us from sleeping throughout the night. Since this problem was not resolved, our overall assessment of the stay is negative.

Међутим, сусрели смо се са значајним проблемом другог дана нашег боравка. Температура у соби била је непријатних 27 степени Целзијуса. Грејање у хотелу је централно и када су га активирали, наш уређај за климатизацију је производио гласну и сметајућу буку која нас је спречила да спавамо целе ноћи. Пошто овај проблем није био решен, наше укупно оцењивање боравка је негативно.",3
Udoban ležaj. Ukusan doručak,"Ušla sam u hladnu sobu, a devojka koja mi je dala ključ nije me uputila da se grejanje podešava rucno , jer bi videla da je je grejanje bilo podeseno na ""general"" i da nije postojala mogucnost da isto sama podesim. Posle sat vremena kada sam primetila da je soba i dalje hladna , morala sam da odem do kafica posto se niko nije javljao na recepciji. Naknadnim podesavanjem grejanja soba je konačno postala prijatna za boravak. WC šolja je bila prljava iako je imala traku da je čista.
Doručak sam čekala preko 15 minuta iako sam bila sama i kaficu. Nemate jednokratne papuce za sobu.",5
"Soba iako gleda ka prometnoj ulici, veoma tiha. Čisto. Veoma ljubazno osoblje na recepciji i u restoranu. Doručak jednostavan ali odlican.",Nedostatak lifta,10
"Prostran apartman za 4 osobe na odlicnoj lokaciji- blizina reke, centra grada, TC Galerija. Cisto, uredno, prijatno, vracamo se ovde sigurno. Domacica divna, prijatna, pruzala nam je sve potrebne informacije. Jednom recju- divno iskustvo",,10
"Stan svetao, prostran, cist. Lokacija odlicna za razgledanje grada.",/,10
"Top apartman, odlicna lokacija kao i komunikacija... 
Sve top...",,10
"Lokacija,brz dogovor, apartman perfektan
Sve poseduje za jedan prijatan odmor",,10
Sve  preporuke za Vilu i za gazdaricu Fahiru veoma ljubazna i korektna osoba,Vrh sve❤️,10
"Ljubaznost i predusretljivost gazdarice me odusevila.
Toliko se posvetila i izasla u susret za sve i toliko smo joj zahvalni da nemam reci kojima bih to opisala. U objektu je sve cisto i uredno, sobe veoma udobne. Sve je blizu centra, tako da smo uzivali...
Sve prepiruke za ovaj objekat....ako birate za vas novac birajte najbolje....sve preporuke...",Nije mi se dopalo samo sto nismo mogli duze ostati...😊😊😊❤️❤️❤️,10
"Gazdarica jako ljubazna, odlican smestaj, preporuka!",,10
#NAME?,#NAME?,9
"Sve preporuke, sam objekat, osoblje, lokacija, besprekorna cistoca.
👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌",,10
"Odličan odnos cene i kvaliteta!! Čisto, udobno, blizu...",,10
"Gostoprimstvo, pravi domacini,udobnost, cistoca,lokacija...",,10
Jedino što je čisto,"Radi se o kući, izuvanje na samom ulazu, šetanje po kući bez papuča koje bi trebali da imaju ako je već obaveza izuvanja. Onda, zajedničko kupatilo za sve goste što mi se ne sviđa kao i zajednički dnevni boravak.",3
"Smeštaj za svaku preporuku!!!Ljubazni i predusretljivi domaćini, smeštaj komforan i uredan, dobra lokacija! Cena kvalitet čista 10-ka!!!🙂👍 Hvala na divnom gostoprimstvu!",,10
"Lak dogovor, osoblje veoma ljubazno. Sve je novo uredno i na veoma visokom nivou poslovanje. Parking jako bitna stavka i lokacija odlicna u blizini autoputa. 
Sigurno bih se vratio ponovo i preporucio.",,10
"Sve je bilo sjajno. U blizini auto puta, lako za nalazenje. Sve uredno i cisto, lak dogovor i jednostavna organizacija.",,10
Sve,,9
"Lokacija odlična,apartman odličan,domaćin odličan.Doci ćemo ponovo.",/,10
"Smeštaj je za svaku pohvalu, sve je novo i čisto. Lokacija je odlična. Domaćin je jako fin.",,10
"Sve je bilo super. Veoma čisto. Filip je ljubazan i veliki profesionalac. Besplatan parking ispred, sto je za Beograd veliki plus. Sve preporuke.",,10
"Dobra komunikacija sa vlasnikom.
Obezbedjen parking, sto je jako vazno!
Vrlo cisto i udobno!  Miran kraj!",,10
"Lokacija odlicna, miran deo grada!
Gazda je za svaku pohvali i saradnju! Sve preporuke! Stan je tip-top, krevet preudoban!
Parking mesto obezbedjeno, sto je nama bilo jako bitno! Docekala nas je topla voda i ukljucen bojler i za to veliki +!!! Cista 10.",,10
"Apartman je uredan.Vlasnik veoma ljubazan.U apartmanu ima sve, što treba da ima jedan apartman.",Apartman nije za 4 osobe ( tri odrasle osobe i dijete).U spavaćoj sobi je mali bračni krevet.Nije mi se dopalo šte se mora iz sobe izaći striktno do 10 sati ujutro.,9
"Lokacija je izuzetna, naselje,mirno,tiho.
Pravi pogodak sa apartmanom,posjeduje sve sto je potrebno za porodicu,ujedo je cisto i profesionalno.",Nije mi se dopalo sto nisam jos neko vece ostao. 🤣,10
"Sve je bilo profesionalno i po dogovoru. Filip, koji nas je sačekao, je napravio i ustupak obezbedivši peglu za kojom smo imali potrebu. Pozicija idealna, izuzetno čisto, parking.... Sve naj naj",,10
"Uredan, cist, ulaz zgrade uredan",Za cetri dana boravka dobili smo tri peskira i niko ih nije mijenjao,9
"Vrlo čisto i uredno. Obezbijeđeno parking mjesto u privatnoj garaži. Domaćin vrlo susretljiv.
4-5km od centra.",,10
Odlično za svaku pohvalu,,10
"Ljubazna i susretljiva ekipa. Sve uredno i cisto. Sledeci put necu traziti drugi smjestaj, sve pohvale.",,10
"Uredno, komforno.  Sve preporuke.",,10
Sve je bilo i vise nego odlično !,,10
Sve,,10
"Odnos cene i usluge… čisto , pedantno, u apartmanu imate sve samo četkicu za zube da ponesete, ima i parking, u blizini ima marketi , pekare , apoteke i dr..sve pohvale",,10
Sve je odlično,Sve je najbolje,10
"Odlican stan,sve je cisto uredno i udobno","Na zgradi pored, koja je u izgradnji,majstori pocinju sa radom u 8h (cak i subotom) i ne moguce je spavati",10
Osoblje izuzetno ljubazno.,,10
"Ljubaznost domaćina,sve pohvale",Ništa ne bih menjao,10
"Jako je cisto. Osoblje je ljubazno. Uvijek su nam bili dostupni i izasli nam u susret za nase zahtjeve.
Posebno nam se svidjelo jer je zabranjeno pusenje i jako je cisto.",Nemamo ni jednu zamjerku.,10
"Apartmam je perfektan, čist , uredan , opremljen svim potrebnim stvarima. Domaćin uslužan , korektan.",,10
"Sve je bilo i vise jego izvanredno! Odnos cene i kvaliteta je apsolutno nerealan! Domacini su preljubazni i jako simpaticni! Prostorije su predivno uredjene sa mnogo prirodne svetlosti, nesto sto ranije nisam vidjala su jednokratne cetkice za zube sa malim pastama sto me je apsolutno odusevilo! I aparat za kafu sa dve kafe koje su nas cekale je predivan gest! Apartman nije za 5 vec za 55 zvezdica, bez lazne skromnosti!",NE POSTOJI NISTA STO NAM SE NIJE DOPALO!,10
Sve,,10
"Preporuke za ovaj objekat, u apartmanu sve novo, čisto na svom mestu. Krevet više nego udoban.
Domaćin jako prijatan i ljubazan. Lokacijski odlična!
Sve preporuke!!",,10
"""Sve je čisto,besprekorno sredjeno i uredno.Apartman raspolaže sa svim osnovnim i neophodnim stvarima,uključujući najmanje sitnice.Sve pohvale za vlasnika veoma ljubazan,😊""",,10
"Sve okej, laka komunikacija, udoban smeštaj. Preporuka.",,9
"Moderno, čisto, novo, lepo i sredjeno sa ukusom",Sve je super!,10
"Lokacija odlicna sve je u blizini,smestaj odlican...
Osoblje jako ljubazno.
Preporucujem svimaaa.",,10
"Super lokacija, lepo uredjena soba, ljubazno osoblje","U sobi je bilo pretoplo i grejanje nije moglo da se smanji, suv vazduh, imali smo fleku na posteljini",7
Lokacija,,9
Bilo je obezbeđen parkin u blizini smeštajne jedinice. Malo je bilo potrebno šetnja do auta i nazad. Lokacija objekta je odlična. Udobni kreveti i velika površina apartmana.,"Neki kuhinjski elementi nisu bili ispravni. Ako neko planira da priprema hranu u apartmanu, biće razočaran. Nije bilo čisto u tom smislu, da trebalo bi već krečenje unutrašnih zidova i mala obnova apartmana.",8
Lokacija,Nemam zamjerke,9
Dobra lokacija.,"Bio sam smešten u drugoj zgradi a ne ovoj sa fotografija. Soba je na drugom spratu, bez lifta. Pritisak vode nije bio najbolji. Ujutru u 09h je počela buka na nekom gradilištu pored.",7
"Sve, lokacija, osoblje prijatno.",/,8
"Ono što mi se dopalo jeste ljubaznost djevojaka na recepciji i lokacija smještaja. U neposrednoj blizini je glavno šetalište, Kalemegdan, Zoo vrt...Odlična lokacija za nekoga ko dolazi kratko a prvi put. Soba nije pretjerano prostrana ali je uredna i sasvim dovoljna za potrebe noćenje.","Pošto je navedeno da je u pitanju hotel sa 4 zvjezdice, očekivati je malo bolji prostor predviđen za recepciju, te urednije dvorište i vanjsko stepenište.",8
"Osoblje je top! Odusevljena sam.. Preljubazni, pokazali, objasnili, uputili nas u sve sto nas je interesovalo vezano za Beograd. Kada smo se odjavili, auto nam je bez ikakvih problema ostalo kod njih dok smo mi jos ponesto obisli. Lokacija predobra, sve se moze pjeske obici.","U kupatilu se osjetila vlaga, samo zbog toga nije ocjena 10",9
Osoblje i udoban krevet!,Los internet!,7
odlicna lokacija,,8
"Lokacija, ljubazno osoblje",Sitnice,7
"Odlična lokacija, izuzetno osoblje, veoma čisto i uredno.  Velike, prozračne sobe","Krevet bi mogao biti udobniji, dušek bi trebalo zamijeniti",8
,Naplacena mi je boravisna taksa iako Sam iz Beograd!,8
"Ljubazno osoblje, lokacija",Neudobni kauč na razvlačenje,7
Lokacija,Tuš u sred sobe,9
"U mirnom kraju a opet blizu svega. Lepo i čisto, osoblje ljubazno, moguć parking uz doplatu.","Zidovi su prljavi i oštećeni na pojedinim mestima, i wc šolja ima neki problem sa curkanjem vode ali sve ostalo na mestu.",9
"Lokacija je dobra. Na par minuta od šetališa, tvrđave i zoo vrta.",Nema parkinga u sklopu već nude javnu garažu u obližnjem šoping centru koji se dodatno naplaćuje.,7
Soba je veoma udobna sa balkonom i dvorištem. Osoblje je zaista divno i vrlo prijateljski nastrojeno. Lokacija je mirna i sobe su zaista dobre napravljene po principu zasebnih apartmana. Sveukupni utisak - SJAJNO! 😊 Izuzetno čisto.,"TV u sobi nije radio zbog kartice, tako da bih jedino to izdvojila.",9
"Lokacija, gospodin koji radi na recepciji, mirno mesto","Nedostatak mini bara, ali to ne uzimam kao neki minus",10
"Jako lep koncept, bašta, atmosfera među ljudima koji su tu. Zaposleni su prijatni. Dobar enterijer, dobra lokacija.","U zamrzivacu nije bilo ni leda, stan je generalno bio loše očišćen, dosta svetala nije radilo ili su trepetale na izmaku.

Zavese u dnevnoj imaju velike rupe u sebi, sa ulaza smo videli ostatke proslih gostiju po podovima.

Cena (koja je klasična za tržište i lokaciju koju nudi) mora da pokrije da apartman bude očuvan i čist.",5
"Lokacija je izuzetna, sve na dohvat ruke.",,10
"Sve. Organizovan prevoz od i do aerodroma vozilima visoke klase. Djevojka na recepciji divna i ljubazna, dostupna za sve što treba. Obezbijeđen krevetac za bebu i prelijep, veliki i izuzetno topao apartman (radijatori topli uvijek, plus klima) sa toplom vodom u svakom momentu. Ogroman broj kanala na tv-u, odličan wifi, dosta prostora za odlaganje odjeće i obuće, veliki radni sto, najbrže kuvalo, odlično opremljen mini bar. Izuzetno čisto!!! Peškiri se mijenjaju svakog dana, smeće se izbaca takođe. Krevet veliki i veoma udoban. Lokacija idealna, mirno, a opet na 5 hoda minuta od centra. Oduševljeni smo, maksimalno ispoštovani i sigurno ćemo se vratiti opet 😊",,10
Sve preporuke ⭐⭐⭐⭐⭐,,10
,"Osoblje je ljubazno. Lokacija ok. Apartman je veoma prostran, ali mu nedostaje krecenje i ciscenje garniture za sedenje. U jednoj sobi nema grejanja i nemoguce je da sve svi istursiraju odjednom, jer nema dovoljno tople vode.",5
"Lokacija,usluga,enterijer.
Uredno,cisto,ljubazno osoblje za sve sto vam je potrebno",,10
"Lokacija,ljubaznost","Grejanje nije radilo,radijatori hladni.",10
,U apartmanu ima dosta vlage. Radijatori gotovo da nisu grijali. U jednoj prostoriji je klima uređaj pomoću kojeg se ista mogla ugrijati. Međutim. u ostalim prostorijama to nije bio slučaj. Toplu vodu na umivaoniku (ponekad i na tušu) nije uvijek moguće dobiti.,4
"Osoblje je ljubazno, raspoloženo i spremno za pomoć. Lokacija je odlična.",,10
"Samo lokacija, lakoca pronalazenja, fina okolina i ulica u kojoj se objekat nalazi, zgrada podnosljivog kvaliteta, lakoca manipulacije sa kljucevima","parking jako komplikovan, cistoca na ne bas zavidnom nivou, kupatilo pohabano, uticnica za klimu polomljena i nemoguce je ukljuciti. Lavabo zapusen i zadrzava vodu, WC solja jako niska, daska rasklimatana",4
"Odlična lokacija, ljubazno osoblje.",,10
"одлична локација, помоћ око паркинга","неоодговарајуће гријање (пропуст), није радио ТВ (вјероватно техничка грешка па не могу да замјерим)",4
Lokacija,"Platio više od nego što je bilo na bookingu platio parking da nisam bio obavešten dok nije doslo na naplatu, bilo je hladno u apartmanu",6
Odlična lokacija i smeštaj.,Nisam mogao da udjem na vrata. Laminat se podigao! Skandal!!!,3
,"Objekat izgleda mnogo bolje na slikama nego uzivo.Cisto je,ali je objekat zreo za krecenje i reparaciju.Jedan TV ima zvuk,nema sliku,drugi ima sliku,nema ton..U dnevnoj sobi,jedino radi TV...Klima na 29,ne greje...Kada u kupatilu ima okolo vidnu budj...Za 240 e za dva nocenja,imala sam veca ocekivanja.Necu vise rezervisati taj smestaj!",5
"Veoma blizu centra grada, tri kafića odmah prekoputa, osoblje i više nego dobro! Apartman je sasvim uredu, kreveti su udobni!",,10
Sve je bilo prelijepo,Nema nista da mi se nije dopalo,10
Sve je bilo u redu!,,10
"Sve preporuke,lokacija top,cisto top sve",,10
Sve,Nista,10
Lokacija,"Hladan, prljav",2
Udobnost kreveta,"Kupatilo ne dovoljno čisto, oseti se vlaga u apartmanu",5
"Apartman , cist i uredan , sve pohvale ..",Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..,3
"Blizina Centra,cistoca,udobnost",,10
"Sve je perfektno: lokacija, parking, smještaj, hrana,osoblje…
Detalji su za pohvaliti👏👏",,10
Ljubaznost zaposlenih u restoranu je izvan svih očekivanja. Odličan dizajn. Udobni kreveti. Izuzetno čisto. Lokacija odlična. Podzemna garaža je odlična varijanta za centar grada.,Na recepciji je uvek neka problematika. Ali ipak je celokupan utisak jako dobar.,10
